run,Tg_C,HCl_DCS,GeH4_DCS,GR_nm_min,Ge_at_pct
22,765,0.57959,0.04176,97.8,18.2
25,765,0.46462,0.02642,62.7,15
26,765,0.61791,0.02642,53.3,15.7
37,765,0.69455,0.05709,128.3,22.6
39,765,0.69455,0.05709,128.3,22.4
40,765,0.77120,0.05709,119.2,23.2
41,765,0.84784,0.05709,111.5,23.4
73,765,0.80952,0.04559,90.0,21.2
114,765,0.77886,0.04712,90.0,21.6
136,765,0.64090,0.03945,83.3,20
136,765,0.68689,0.03945,83.3,20.1
138,765,0.73287,0.03945,76.7,20.1
164,745,0.62557,0.03409,47.1,20.9
185,745,0.62557,0.03102,42.1,19.6
197,745,0.61791,0.03102,42.1,19.8
218,745,0.60258,0.03255,42.7,19.9
70,725,0.57959,0.03409,29.3,21.73
17,725,0.57959,0.02795,23.2,20
18,725,0.57959,0.03945,34.6,22.7
19,725,0.57959,0.02029,14.6,17
72,725,0.42630,0.02795,30.5,19.5
71,725,0.42630,0.02029,21.4,16.4
42,725,0.42630,0.03409,37.3,21.2
43,725,0.50294,0.03102,30.0,20.7
44,725,0.65623,0.02642,18.0,19.5
45,725,0.73287,0.02642,15.0,19.3
113,725,0.51061,0.02795,26.4,19.6
7,705,0.38798,0.02642,18.0,20.5
13,705,0.38798,0.06476,52.0,27.5
61,705,0.46462,0.04942,34.4,26.6
62,705,0.46462,0.02642,16.0,20.7
63,705,0.38798,0.04942,38.4,26.1
64,705,0.31133,0.02642,22.0,20
65,705,0.31133,0.04942,43.0,25.5
66,705,0.23469,0.04942,48.0,24.7
67,705,0.23469,0.02642,26.5,19.3
140,705,0.54126,0.06476,40.0,30.3
141,705,0.61791,0.05709,30.0,29.5
166,705,0.47995,0.06476,42.6,30
217,705,0.60258,0.06476,37.0,30.7
213,670,0.44163,0.05402,14.0,31
216,670,0.44163,0.04942,14.2,29.5
12,645,0.38798,0.08009,17.0,37.5
27,645,0.38798,0.04252,6.5,28.9
52,645,0.46462,0.03792,4.0,28
56,645,0.31133,0.04942,8.7,31
57,645,0.23469,0.04942,9.0,32
60,645,0.15804,0.04942,11.0,31.3
144,645,0.23469,0.04482,10.0,29.8
145,645,0.31133,0.04559,8.3,30.4
146,645,0.38798,0.04636,6.5,30.9
147,645,0.38798,0.04559,6.5,30.8
148,645,0.46462,0.04559,4.8,30.9
163,645,0.15804,0.04482,12.8,28.9
198,645,0.28067,0.04252,7.7,29.7
16,630,0.38798,0.08009,6.4,40
165,630,0.27301,0.08776,16.0,38.8
186,630,0.27301,0.09543,15.2,40.9
214,630,0.37265,0.09543,15.0,40.4
15,605,0.38798,0.08009,4.5,40
46,605,0.23469,0.07626,6.3,39.3
47,605,0.23469,0.04559,2.2,33.1
48,605,0.15804,0.07626,8.0,39
49,605,0.15804,0.04559,3.3,32.6
50,605,0.08140,0.07626,9.3,36.3
142,605,0.21936,0.08009,7.5,40.3
162,605,0.23469,0.08009,7.3,40.4
115,605,0.28067,0.08009,7.2,40
143,605,0.08140,0.04559,7.0,31.2
51,605,0.25768,0.08009,4.3,40.9
