run,HCl_DCS,GeH4_DCS,B2H6_DCS,GR_nm_min,Ge_at_pct
1,0.727273,0.034707,0.001136,39.7,19.5
2,0.878788,0.05039,0.001894,49.2,23
3,0.575758,0.05039,0.001894,66.3,21.5
4,0.575758,0.019024,0.001894,26.7,13
5,0.878788,0.019024,0.001894,14.6,14
6,0.727273,0.034707,0.002045,40.6,9
7,0.727273,0.054311,0.001136,61.0,23.5
8,0.537879,0.034707,0.001136,49.2,19.2
9,0.727273,0.034707,0.001136,38.9,19.5
10,0.727273,0.030786,0.001136,34.6,18.5
11,0.916667,0.034707,0.001136,29.6,20
12,0.878788,0.05039,0.000379,47.1,24
13,0.575758,0.05039,0.000379,65.5,22.5
14,0.575758,0.019024,0.000379,25.9,14.5
15,0.878788,0.019024,0.000379,11.6,15
16,0.727273,0.034707,0.000379,37.5,20
17,0.727273,0.034707,0.001136,39.7,19.5
18,0.727273,0.015103,0.001136,15.2,12
