Tg_C,HCl_H2_x10000,GeH4_H2_x10000,GR_nm_min,HCl_DCS_x10000,GeH4_DCS_x10000,Ge_at_pct
750,20.8,0.42111,17.71,20.8,163.243,10.60
750,20.8,0.83436,32.65,20.8,321.000,15.47
750,20.8,1.24761,44.38,20.8,475.946,18.26
750,20.8,1.67659,56.35,20.8,626.324,20.08
750,20.8,2.08871,64.25,20.8,771.081,21.89
750,20.8,2.50197,73.25,20.8,911.270,23.64
750,20.8,2.92083,82.49,20.8,1045.838,25.16
750,20.8,3.34419,90.39,20.8,1180.757,26.29
750,20.8,3.75632,99.87,20.8,1307.946,27.15
750,41.6,0.42673,10.29,41.6,161.838,12.28
750,41.6,0.82426,21.59,41.6,323.811,17.87
750,41.6,1.25772,32.17,41.6,477.351,20.76
750,41.6,1.66536,41.65,41.6,624.919,22.86
750,41.6,2.08422,50.70,41.6,771.081,24.50
750,41.6,2.50197,58.79,41.6,907.054,26.19
750,41.6,2.92532,67.41,41.6,1049.000,27.56
750,41.6,3.34419,75.98,41.6,1180.757,28.90
750,41.6,3.76755,82.97,41.6,1305.135,29.80
750,62.4,0.41662,2.63,62.4,162.708,12.99
750,62.4,0.83998,11.87,62.4,322.803,17.84
750,62.4,1.25772,20.68,62.4,475.946,22.54
750,62.4,1.67097,30.16,62.4,624.919,24.57
750,62.4,2.08871,38.73,62.4,772.486,26.40
750,62.4,2.50758,45.72,62.4,909.865,28.01
750,62.4,2.92083,54.96,62.4,1045.838,29.25
750,62.4,3.33857,63.34,62.4,1179.000,30.52
750,83.2,0.82426,2.15,83.2,322.405,19.12
750,83.2,1.25323,9.14,83.2,475.946,23.06
750,83.2,1.66536,16.85,83.2,626.324,25.40
750,83.2,2.08422,25.61,83.2,771.081,27.05
750,83.2,2.51319,32.17,83.2,908.459,28.86
750,83.2,2.92083,39.40,83.2,1049.000,30.31
750,104.0,1.67659,5.31,104.0,623.514,25.64
750,104.0,2.08871,12.97,104.0,773.892,27.70
750,104.0,2.50758,16.85,104.0,908.459,29.52
