Tg_C,DCS_sccm,GeH4_sccm,HCl_sccm,B2H6_sccm,Ge_pct,Thickness_nm
760,8,7.2,3.2,4.4E-06,8.53,47.51
740,8,7.2,3.2,6.6E-06,9.74,32.52
740,8,7.2,4.8,4.4E-06,9.78,25.86
760,8,7.2,4.8,6.6E-06,9.14,39.23
740,8,10.8,3.2,4.4E-06,12.13,44.04
760,8,10.8,3.2,6.6E-06,10.68,62.36
760,8,10.8,4.8,4.4E-06,11.42,51.85
740,8,10.8,4.8,6.6E-06,12.96,35.67
740,12,7.2,3.2,4.4E-06,7.87,32.10
760,12,7.2,3.2,6.6E-06,7.14,48.72
760,12,7.2,4.8,4.4E-06,6.4,42.24
740,12,7.2,4.8,6.6E-06,8.54,24.15
760,12,10.8,3.2,4.4E-06,9.17,63.09
740,12,10.8,3.2,6.6E-06,10.35,43.76
740,12,10.8,4.8,4.4E-06,10.95,34.62
760,12,10.8,4.8,6.6E-06,9.73,52.67
750,10,9,4,5.5E-06,9.78,41.64
750,10,9,4,5.5E-06,9.8,41.92
